ZONEID,TIMESTAMP,LOAD
1,1212011 1:00,147.7
1,1212011 2:00,145.3
1,1212011 3:00,146.6
1,1212011 4:00,149.8
1,1212011 5:00,158.6
1,1212011 6:00,174.7
1,1212011 7:00,198.4
1,1212011 8:00,198.2
1,1212011 9:00,178.8
1,1212011 10:00,162
1,1212011 11:00,148.3
1,1212011 12:00,136.6
1,1212011 13:00,127.4
1,1212011 14:00,121.5
1,1212011 15:00,116.3
1,1212011 16:00,116.8
1,1212011 17:00,127.7
1,1212011 18:00,161.6
1,1212011 19:00,177
1,1212011 20:00,185.7
1,1212011 21:00,190.2
1,1212011 22:00,186
1,1212011 23:00,177.7
1,1222011 0:00,167.8
1,1222011 1:00,162.3
1,1222011 2:00,161.9
1,1222011 3:00,164.4
1,1222011 4:00,168.5
1,1222011 5:00,177.2
1,1222011 6:00,192.5
1,1222011 7:00,216.5
1,1222011 8:00,215.5
1,1222011 9:00,190.1
1,1222011 10:00,162.8
1,1222011 11:00,141.4
1,1222011 12:00,127.8
1,1222011 13:00,116.7
1,1222011 14:00,110.3
1,1222011 15:00,107.9
1,1222011 16:00,108.9
1,1222011 17:00,116.1
1,1222011 18:00,143.4
1,1222011 19:00,156.6
1,1222011 20:00,162.6
1,1222011 21:00,167.9
1,1222011 22:00,168.1
1,1222011 23:00,164.7
1,1232011 0:00,158.6
1,1232011 1:00,153.9
1,1232011 2:00,152.1
1,1232011 3:00,150.8
1,1232011 4:00,149.6
1,1232011 5:00,151.4
1,1232011 6:00,157.5
1,1232011 7:00,167.3
1,1232011 8:00,175.6
1,1232011 9:00,171.3
1,1232011 10:00,155.1
1,1232011 11:00,141.3
1,1232011 12:00,129.2
1,1232011 13:00,120.2
1,1232011 14:00,112.2
1,1232011 15:00,108.6
1,1232011 16:00,109.5
1,1232011 17:00,119.3
1,1232011 18:00,144.7
1,1232011 19:00,153.5
1,1232011 20:00,156.6
1,1232011 21:00,159.3
1,1232011 22:00,155.1
1,1232011 23:00,148.9
1,1242011 0:00,140.5
1,1242011 1:00,134.2
1,1242011 2:00,133.2
1,1242011 3:00,134.9
1,1242011 4:00,138.2
1,1242011 5:00,142.7
1,1242011 6:00,149.7
1,1242011 7:00,159.7
1,1242011 8:00,170.5
1,1242011 9:00,172
1,1242011 10:00,156.7
1,1242011 11:00,135.3
1,1242011 12:00,118
1,1242011 13:00,111.9
1,1242011 14:00,107.4
1,1242011 15:00,105.4
1,1242011 16:00,104.9
1,1242011 17:00,109.2
1,1242011 18:00,130.8
1,1242011 19:00,137.9
1,1242011 20:00,139
1,1242011 21:00,140.3
1,1242011 22:00,133.4
1,1242011 23:00,124.6
1,1252011 0:00,113.8
1,1252011 1:00,106
1,1252011 2:00,102.3
1,1252011 3:00,100.8
1,1252011 4:00,100.8
1,1252011 5:00,104.1
1,1252011 6:00,115.3
1,1252011 7:00,135.2
1,1252011 8:00,135.9
1,1252011 9:00,128.3
1,1252011 10:00,119.5
1,1252011 11:00,113.1
1,1252011 12:00,108.5
1,1252011 13:00,105
1,1252011 14:00,104.8
1,1252011 15:00,103.8
1,1252011 16:00,104.9
