date,hour,LOAD,w1,w2,w3,w4,w5,w6,w7,w8,w9,w10,w11,w12,w13,w14,w15,w16,w17,w18,w19,w20,w21,w22,w23,w24,w25
12/1/2011,1,147.7,31,37,32,33,39,41,39,39,30,42,35,36,38,49,37,41,32,46,37,43,47,36,39,39,39
12/1/2011,2,145.3,30,36,32,35,41,42,41,41,30,41,33,32,36,48,36,41,32,43,37,41,46,36,39,38,37
12/1/2011,3,146.6,30,34,31,30,41,43,41,41,30,40,33,32,36,48,36,38,28,43,36,39,46,34,39,37,37
12/1/2011,4,149.8,30,34,28,33,41,42,40,41,28,39,31,30,35,48,35,38,28,41,32,39,45,32,39,35,36
12/1/2011,5,158.6,29,32,28,30,39,42,39,39,28,38,32,30,34,47,35,39,28,40,32,38,45,32,38,32,35
12/1/2011,6,174.7,28,30,27,32,37,40,38,37,27,37,31,30,34,47,34,38,27,40,32,37,43,30,38,30,33
12/1/2011,7,198.4,28,30,27,33,37,39,37,37,27,36,31,30,32,48,33,37,27,40,32,37,44,30,36,30,32
12/1/2011,8,198.2,29,32,27,33,41,42,40,41,28,36,33,30,33,47,36,39,28,42,32,38,45,32,36,34,35
12/1/2011,9,178.8,34,37,32,40,43,44,42,43,32,40,37,36,37,47,40,43,36,46,39,42,46,36,42,38,40
12/1/2011,10,162,41,45,37,45,45,46,46,45,36,44,43,43,41,50,45,47,43,49,43,45,47,41,46,43,45
12/1/2011,11,148.3,47,45,40,50,48,49,47,48,43,48,47,46,45,50,47,49,46,52,50,48,48,45,49,47,48
12/1/2011,12,136.6,51,48,47,52,50,51,50,50,46,50,49,50,48,51,50,51,52,53,52,50,49,46,50,50,49
12/1/2011,13,127.4,53,50,51,53,50,53,52,50,50,52,51,50,50,51,52,54,54,54,54,53,50,50,53,52,51
12/1/2011,14,121.5,56,50,54,56,54,54,53,54,52,54,52,52,52,52,54,55,55,54,55,53,51,50,54,54,53
12/1/2011,15,116.3,56,52,56,57,54,54,53,54,52,54,54,54,53,52,54,56,55,54,55,54,53,52,55,55,54
12/1/2011,16,116.8,56,50,56,56,54,52,52,54,50,54,54,54,52,50,54,55,55,53,55,53,52,50,55,55,54
12/1/2011,17,127.7,53,45,55,55,50,49,47,50,46,51,52,50,50,49,47,51,52,48,54,50,50,43,53,50,46
12/1/2011,18,161.6,44,37,49,51,45,46,43,45,45,45,48,43,45,49,43,46,41,45,45,48,47,41,43,44,39
12/1/2011,19,177,39,36,44,47,41,43,40,41,43,41,46,41,41,49,38,41,37,41,39,40,47,37,40,42,37
12/1/2011,20,185.7,36,34,38,43,37,39,36,37,43,39,42,37,39,49,37,39,34,41,37,36,46,36,38,39,35
12/1/2011,21,190.2,33,32,36,35,37,38,35,37,39,38,40,36,37,48,36,38,32,37,36,35,45,32,35,37,35
12/1/2011,22,186,32,32,32,41,36,36,34,36,36,36,38,36,33,48,34,36,32,36,34,33,44,32,34,37,32
12/1/2011,23,177.7,31,30,32,43,34,35,34,34,36,36,36,32,34,49,33,35,30,36,34,32,42,32,33,34,32
12/1/2011,24,167.8,30,30,29,35,32,34,33,32,34,34,33,32,32,48,31,34,30,36,32,31,39,30,32,34,31
12/2/2011,1,162.3,29,30,29,38,32,34,32,32,34,33,32,32,31,49,31,33,30,35,32,31,38,28,31,32,31
12/2/2011,2,161.9,29,30,27,37,32,35,32,32,34,32,33,32,32,49,31,32,28,38,32,30,36,30,31,32,31
12/2/2011,3,164.4,28,28,27,32,32,34,31,32,34,31,32,30,36,49,30,32,28,35,32,29,36,28,30,32,30
12/2/2011,4,168.5,27,28,27,31,32,33,30,32,36,30,31,30,33,49,30,32,28,38,30,29,37,28,29,30,30
12/2/2011,5,177.2,26,28,26,30,32,32,30,32,36,31,31,28,32,49,31,31,28,37,30,29,35,27,28,29,29
12/2/2011,6,192.5,26,28,26,27,32,32,30,32,32,31,31,28,30,48,30,32,27,38,30,29,35,27,30,29,29
12/2/2011,7,216.5,25,27,24,26,30,32,30,30,36,30,31,30,29,49,30,31,27,39,30,28,36,27,28,30,28
12/2/2011,8,215.5,26,28,26,32,32,33,32,32,37,31,32,28,31,50,32,35,28,43,32,32,37,28,30,31,30
12/2/2011,9,190.1,32,34,32,42,41,43,41,41,45,37,40,32,38,52,41,44,34,48,36,41,46,36,36,37,40
12/2/2011,10,162.8,41,46,38,47,48,50,50,48,45,47,48,45,46,54,49,51,43,53,45,49,51,45,46,46,49
12/2/2011,11,141.4,50,52,44,54,54,54,56,54,46,54,53,50,52,55,55,56,52,56,52,53,55,52,54,54,54
12/2/2011,12,127.8,57,54,51,57,55,57,57,55,46,57,56,54,57,57,57,58,55,58,59,55,58,54,59,59,57
12/2/2011,13,116.7,60,55,54,60,59,58,59,59,48,60,59,57,60,56,60,60,61,60,59,58,60,55,63,61,59
12/2/2011,14,110.3,62,57,57,61,61,59,62,61,50,62,61,59,61,58,61,61,63,60,61,60,61,55,64,62,60
12/2/2011,15,107.9,58,57,59,62,61,59,62,61,52,63,62,61,62,56,62,62,63,60,63,61,62,57,64,63,61
12/2/2011,16,108.9,54,54,58,62,61,56,61,61,50,62,61,61,61,55,61,63,63,57,61,60,60,57,64,63,61
12/2/2011,17,116.1,51,50,54,58,55,53,51,55,48,57,58,54,58,48,54,55,59,52,59,54,56,50,60,58,50
12/2/2011,18,143.4,48,45,50,52,48,49,44,48,46,48,52,48,51,43,48,48,45,45,54,46,50,45,51,51,45
12/2/2011,19,156.6,43,37,46,53,43,42,43,43,46,44,51,46,50,45,45,46,43,44,54,46,48,39,44,48,41
12/2/2011,20,162.6,40,36,42,50,41,43,39,41,45,42,45,43,47,40,43,42,37,41,46,38,47,37,42,45,40
12/2/2011,21,167.9,37,36,38,46,37,41,38,37,43,40,45,41,48,39,42,41,36,39,46,37,47,36,39,42,37
12/2/2011,22,168.1,35,34,36,39,37,38,37,37,37,40,46,39,44,40,40,38,34,39,50,36,45,34,37,41,36
12/2/2011,23,164.7,34,32,35,41,36,37,35,36,39,37,48,37,42,42,39,38,34,37,41,35,44,32,38,40,35
12/2/2011,24,158.6,33,32,32,43,34,38,33,34,37,38,40,36,46,42,38,36,32,37,37,33,45,32,37,37,35
12/3/2011,1,153.9,32,32,31,33,34,36,34,34,36,36,40,36,44,41,45,36,32,37,37,33,51,32,36,37,36
12/3/2011,2,152.1,31,37,31,41,34,41,33,34,36,37,42,34,39,43,48,35,32,36,36,32,49,28,35,36,36
12/3/2011,3,150.8,31,37,29,37,34,45,32,34,37,34,43,34,39,43,46,34,32,36,39,31,49,30,33,42,36
12/3/2011,4,149.6,30,37,28,39,34,45,33,34,32,42,40,34,39,48,43,35,32,36,45,31,48,36,33,41,39
12/3/2011,5,151.4,30,34,29,44,32,45,30,32,32,41,40,41,39,50,42,34,32,43,45,31,47,37,32,39,38
12/3/2011,6,157.5,29,32,28,41,32,44,38,32,32,41,39,41,37,52,40,34,39,42,41,35,47,36,32,38,35
12/3/2011,7,167.3,29,32,27,42,39,43,40,39,34,40,38,37,35,52,39,34,37,42,41,38,47,34,33,37,33
12/3/2011,8,175.6,29,34,28,40,39,45,43,39,34,41,38,37,35,53,41,38,39,47,41,41,47,37,35,39,36
12/3/2011,9,171.3,38,43,33,45,45,48,47,45,36,45,41,41,39,55,44,46,43,53,43,47,49,41,43,42,44
12/3/2011,10,155.1,45,46,38,48,52,53,52,52,39,49,44,45,45,57,47,53,46,58,45,52,51,46,47,48,49
12/3/2011,11,141.3,51,50,48,50,55,55,56,55,41,54,48,46,48,58,50,59,50,60,46,56,53,50,53,51,52
12/3/2011,12,129.2,55,52,52,53,59,56,59,59,43,56,49,50,50,59,52,62,52,60,48,59,54,52,55,53,55
12/3/2011,13,120.2,57,52,53,55,61,56,60,61,43,58,52,52,52,59,54,64,54,60,50,61,53,54,57,55,56
12/3/2011,14,112.2,59,54,53,57,63,56,60,63,45,59,52,54,53,58,55,64,54,60,52,62,53,55,59,56,56
12/3/2011,15,108.6,60,54,53,58,63,55,60,63,45,59,53,55,53,58,56,65,54,59,52,61,54,55,59,56,56
12/3/2011,16,109.5,60,52,53,57,61,53,58,61,43,58,52,54,53,55,54,63,54,57,52,60,52,54,58,56,55
12/3/2011,17,119.3,56,50,50,55,59,50,54,59,41,54,50,52,49,53,53,58,50,53,50,55,50,50,55,53,49
12/3/2011,18,144.7,48,45,47,51,52,48,50,52,37,51,49,46,47,53,49,52,45,51,45,52,50,45,45,49,43
12/3/2011,19,153.5,44,45,44,49,52,46,48,52,36,45,47,43,44,53,47,48,39,50,41,51,50,45,44,47,41
12/3/2011,20,156.6,41,43,42,47,52,47,48,52,36,47,45,43,43,53,48,48,37,48,41,49,50,45,41,48,42
12/3/2011,21,159.3,39,39,38,50,48,42,46,48,34,46,44,43,43,53,44,50,36,47,41,48,49,43,40,44,45
12/3/2011,22,155.1,38,39,36,44,46,47,46,46,36,44,43,41,41,53,44,47,36,48,41,47,48,43,39,44,42
12/3/2011,23,148.9,35,37,35,47,46,44,45,46,32,42,42,37,41,53,42,46,34,48,37,45,48,37,38,42,38
12/3/2011,24,140.5,34,37,33,45,46,47,45,46,32,44,40,37,40,53,41,43,34,47,36,45,48,36,36,41,39
12/4/2011,1,134.2,34,37,33,43,46,46,44,46,30,41,38,36,38,54,40,42,34,48,34,43,46,36,34,40,37
12/4/2011,2,133.2,33,34,30,42,46,45,44,46,32,39,39,36,38,54,38,42,32,47,34,41,46,34,34,38,34
12/4/2011,3,134.9,32,32,31,37,46,45,44,46,32,38,36,34,37,54,37,42,32,49,32,38,43,32,33,37,36
12/4/2011,4,138.2,32,32,30,38,46,46,43,46,32,37,35,34,35,54,36,43,32,49,32,38,42,32,33,36,35
12/4/2011,5,142.7,32,32,29,37,45,43,41,45,30,38,33,32,34,54,33,42,32,49,32,41,43,32,34,33,34
