ZONEID,TIMESTAMP,LOAD,w1,w2,w3,w4,w5,w6,w7,w8,w9,w10,w11,w12,w13,w14,w15,w16,w17,w18,w19,w20,w21,w22,w23,w24,w25
1,412011 1:00,123.4,46,45,36,45,49,44,49,49,32,48,43,45,43,50,44,49,43,51,41,48,44,45,48,44,45
1,412011 2:00,120.2,46,45,35,45,49,44,49,49,32,48,42,43,43,50,43,49,39,50,39,48,44,45,46,44,45
1,412011 3:00,119.3,44,45,35,43,49,44,48,49,32,47,40,43,42,50,44,49,37,50,37,48,44,45,46,44,45
1,412011 4:00,120.8,44,45,34,41,48,44,48,48,32,47,37,41,42,49,44,49,36,50,39,48,44,45,46,44,45
1,412011 5:00,124.8,45,43,35,39,49,44,48,48,30,46,37,39,42,50,43,49,36,50,39,48,44,45,45,44,45
1,412011 6:00,136.6,44,43,35,39,48,44,48,47,30,46,35,39,42,50,41,49,32,50,37,48,43,45,44,43,45
1,412011 7:00,158.3,44,43,35,38,48,44,48,47,30,46,33,37,39,50,38,49,32,50,36,48,43,45,44,42,44
1,412011 8:00,161.3,44,43,35,37,48,45,46,47,30,45,36,37,39,51,38,48,32,50,37,47,44,45,43,41,45
1,412011 9:00,154.1,45,45,36,41,48,45,49,47,30,45,40,39,40,50,43,49,37,50,41,47,45,45,44,42,43
1,412011 10:00,151.2,46,45,39,43,49,46,50,47,30,46,43,43,41,52,45,49,43,52,41,49,45,45,45,46,46
1,412011 11:00,146.1,47,45,41,49,49,47,52,48,32,48,44,46,44,53,46,52,46,53,43,50,44,46,47,47,46
1,412011 12:00,140.7,50,45,44,49,51,48,52,50,32,49,47,46,45,53,46,53,48,54,45,53,46,48,48,47,48
1,412011 13:00,132.9,52,46,46,51,52,49,53,52,36,51,48,48,45,55,47,53,48,56,45,52,48,48,52,48,48
1,412011 14:00,130,54,48,47,52,52,48,56,54,34,51,50,50,47,54,49,53,52,55,46,53,49,48,55,50,49
1,412011 15:00,128.4,54,46,49,52,54,50,54,54,37,53,48,50,49,53,51,57,52,54,46,53,47,50,55,51,50
1,412011 16:00,129.5,56,50,49,57,55,48,53,55,39,54,50,50,50,57,52,55,54,55,46,54,49,50,54,53,52
1,412011 17:00,130.6,57,50,51,54,57,48,55,56,39,54,50,52,50,56,52,55,54,55,50,54,50,52,54,52,53
1,412011 18:00,134.3,56,50,51,56,55,49,53,56,39,54,50,52,51,55,52,56,54,56,50,54,49,52,54,52,52
1,412011 19:00,141,55,50,50,55,56,48,53,55,39,53,50,52,50,53,51,55,52,54,50,53,49,52,54,52,51
1,412011 20:00,152.3,48,45,47,51,53,48,50,54,37,50,46,48,47,52,48,52,48,52,46,51,49,48,49,48,48
1,412011 21:00,165,43,37,45,49,47,45,49,48,37,46,43,43,43,52,41,49,41,51,45,47,47,43,45,45,41
1,412011 22:00,165.5,40,36,45,48,44,44,46,41,37,44,44,39,41,52,40,45,41,50,45,43,45,39,42,41,41
1,412011 23:00,161.6,37,36,40,42,44,40,39,41,39,41,43,39,38,51,39,43,41,49,39,38,45,37,40,41,38
1,422011 0:00,154.4,38,37,39,43,42,40,43,44,36,40,41,39,39,52,38,42,39,50,37,40,45,37,37,42,39
1,422011 1:00,147.4,41,36,47,46,41,40,44,40,36,39,40,36,38,52,37,43,41,50,43,40,43,39,42,38,36
1,422011 2:00,145.5,42,36,47,45,41,39,43,40,37,41,41,37,36,51,39,41,43,51,41,41,43,37,35,40,35
1,422011 3:00,145.5,41,34,47,44,42,38,41,39,36,40,42,45,37,50,42,40,41,51,39,40,36,39,35,41,39
1,422011 4:00,146.9,41,36,47,42,42,40,39,43,36,41,40,37,43,51,43,44,37,49,37,38,36,41,36,43,41
1,422011 5:00,147.6,40,39,46,40,41,40,41,42,36,43,41,37,38,51,40,43,36,47,36,40,37,43,38,37,43
1,422011 6:00,149.9,38,37,42,38,46,44,43,42,37,43,38,37,37,51,43,43,34,50,34,42,39,39,37,40,37
1,422011 7:00,155.5,35,37,37,42,45,43,43,42,36,38,38,39,38,51,41,46,37,52,41,41,41,36,35,38,36
1,422011 8:00,164.2,35,39,38,43,45,45,46,41,37,43,40,39,40,52,42,46,37,51,39,44,44,43,40,42,44
1,422011 9:00,163.7,47,45,42,49,49,48,50,45,37,48,45,45,46,55,46,50,46,54,45,49,47,48,48,46,48
1,422011 10:00,153.8,56,52,51,53,54,52,55,51,39,54,49,48,50,55,52,55,52,57,52,55,50,54,56,53,52
1,422011 11:00,142.7,60,54,53,58,58,55,59,56,41,58,54,54,53,56,55,59,55,60,52,59,53,55,60,56,55
1,422011 12:00,133.5,62,55,56,61,61,58,61,60,43,59,56,55,56,58,57,61,59,62,54,61,56,59,61,58,58
1,422011 13:00,125,62,55,56,62,64,59,62,63,45,61,58,59,58,60,59,64,59,64,54,63,58,59,62,60,60
1,422011 14:00,118.2,63,55,58,64,65,60,62,64,46,63,60,61,60,62,61,65,63,65,55,64,56,61,64,64,61
1,422011 15:00,113.2,63,61,59,66,66,59,63,64,46,62,60,63,60,64,63,66,63,63,57,64,59,63,64,64,61
1,422011 16:00,111.4,65,61,60,67,67,54,65,66,46,63,60,63,60,64,62,67,63,63,57,66,53,61,64,63,63
1,422011 17:00,111.8,69,61,59,67,68,59,64,67,46,65,58,61,60,63,60,68,64,64,55,67,58,63,65,61,63
1,422011 18:00,114.1,68,61,59,65,66,59,64,67,48,65,59,63,57,61,59,67,63,63,55,66,51,63,65,61,61
1,422011 19:00,116.5,65,55,57,63,67,57,61,66,46,63,57,61,56,58,58,65,61,61,55,63,53,57,64,60,58
1,422011 20:00,127.3,60,54,54,59,62,51,61,64,46,60,54,57,54,58,56,61,59,60,52,59,49,55,61,57,56
1,422011 21:00,141.5,57,54,54,56,55,46,56,60,45,57,51,52,51,58,52,55,55,59,48,57,47,54,57,55,55
1,422011 22:00,141.5,55,50,53,51,53,45,56,53,45,55,48,46,49,54,50,57,46,54,43,55,45,52,55,52,53
1,422011 23:00,137.4,51,50,51,51,48,47,55,51,45,53,47,45,46,52,45,51,43,57,41,50,42,48,54,50,48
1,432011 0:00,130.9,43,48,48,46,48,44,51,48,45,52,47,43,46,56,41,47,37,54,37,50,45,41,49,45,40
1,432011 1:00,125.2,39,45,47,45,46,44,49,42,45,46,36,39,43,55,39,45,36,51,39,42,44,39,44,41,38
1,432011 2:00,123.4,37,39,46,41,44,46,46,42,45,41,38,37,44,54,37,43,34,51,43,39,45,37,39,40,37
1,432011 3:00,124.6,36,36,42,41,41,43,47,40,45,39,38,36,37,54,35,40,34,47,39,37,45,45,36,36,35
1,432011 4:00,127.8,33,36,40,39,40,42,46,38,45,37,36,36,37,53,35,38,34,49,46,38,44,45,36,37,34
1,432011 5:00,131.8,32,37,37,38,37,44,45,36,43,36,34,34,39,53,34,39,32,47,39,34,44,37,35,36,35
1,432011 6:00,139.6,32,36,38,35,36,40,44,37,43,36,38,32,35,53,33,37,32,44,36,35,44,36,34,34,32
1,432011 7:00,149,31,36,34,40,36,40,40,36,43,36,35,32,35,52,34,35,32,45,34,33,44,36,31,33,33
1,432011 8:00,160,34,45,36,43,38,43,45,37,43,38,35,34,38,53,37,41,32,49,36,40,46,43,36,36,41
1,432011 9:00,161.1,44,50,42,51,49,50,52,45,45,47,47,45,46,54,49,51,44,52,48,49,48,48,45,46,48
1,432011 10:00,149.5,55,54,49,59,58,54,56,56,48,54,54,55,54,56,54,59,57,58,52,56,51,54,58,53,55
1,432011 11:00,132.6,64,55,56,63,62,57,60,60,54,58,57,57,57,58,59,61,63,60,55,59,53,57,62,60,60
1,432011 12:00,118.6,66,57,61,65,66,58,62,63,55,62,62,63,59,61,62,64,64,63,59,63,55,61,64,62,63
1,432011 13:00,111.5,68,59,65,67,67,59,66,65,59,65,63,64,61,61,65,67,68,62,61,66,57,63,67,64,64
1,432011 14:00,107.1,71,64,68,70,69,61,67,68,61,67,64,66,63,61,65,69,68,61,64,68,60,66,67,68,66
1,432011 15:00,102.9,72,64,71,72,71,63,69,69,63,68,67,70,65,62,68,68,70,60,64,69,60,66,71,69,67
1,432011 16:00,99.6,73,64,73,73,72,64,69,71,64,69,68,70,65,59,69,68,73,61,68,67,61,68,71,70,68
1,432011 17:00,98.6,74,66,72,74,71,64,70,72,64,70,70,72,66,57,70,67,73,61,70,66,63,70,72,71,68
1,432011 18:00,100,74,64,71,73,69,64,69,73,64,70,70,72,67,56,71,67,73,61,70,65,64,68,72,70,68
1,432011 19:00,101.7,72,63,69,72,65,56,63,70,63,68,68,72,66,55,69,63,72,59,68,61,55,64,70,69,67
1,432011 20:00,110.8,67,55,63,69,62,52,58,64,59,64,65,70,63,55,62,60,68,58,64,57,52,57,67,65,59
1,432011 21:00,125.8,64,54,63,64,60,51,55,60,57,61,63,63,60,57,61,58,64,59,63,56,50,59,64,62,58
1,432011 22:00,122.6,65,54,61,62,58,51,55,57,57,60,60,64,58,58,62,58,64,58,61,56,50,57,61,63,59
1,432011 23:00,112,63,52,62,60,57,52,55,57,57,58,60,64,58,59,61,59,63,59,61,57,50,55,60,61,58
1,442011 0:00,102.1,62,50,60,62,56,52,54,57,57,57,60,63,58,60,59,60,63,59,59,58,50,54,59,59,57
1,442011 1:00,93.9,60,54,60,60,55,52,53,56,55,56,61,61,57,60,59,62,63,60,59,59,50,52,58,59,55
1,442011 2:00,91.1,60,54,59,59,55,52,55,55,55,56,60,61,56,61,58,63,61,60,55,59,51,52,58,59,55
1,442011 3:00,91.4,61,54,59,58,58,53,57,54,54,56,58,59,57,60,58,63,57,60,55,60,52,54,57,58,55
1,442011 4:00,93.2,60,54,60,56,60,54,57,57,54,57,57,57,57,61,58,61,59,61,55,61,53,55,57,57,55
1,442011 5:00,97.8,61,54,58,56,59,55,60,58,54,57,56,57,56,62,57,59,55,62,55,59,54,55,57,57,55
1,442011 6:00,110.4,58,52,59,55,56,58,62,59,55,56,55,57,56,62,55,59,54,63,55,59,58,55,56,56,55
1,442011 7:00,131,56,54,58,53,55,58,61,59,55,56,53,57,56,63,56,60,54,63,54,59,58,55,55,57,55
1,442011 8:00,128.7,58,57,60,57,57,61,62,59,55,59,57,57,57,63,57,63,55,64,54,61,60,61,57,58,57
1,442011 9:00,114.9,64,63,64,61,64,65,67,62,63,63,62,61,62,66,63,67,61,66,59,67,64,64,61,62,61
1,442011 10:00,107.5,68,66,68,66,70,69,71,67,68,68,66,66,66,68,69,72,66,68,63,72,68,68,68,69,66
1,442011 11:00,103.6,72,70,72,72,74,72,75,71,72,73,71,72,70,68,74,75,70,70,66,75,74,73,71,73,72
1,442011 12:00,103,77,75,73,75,77,75,78,75,73,76,75,75,75,69,77,76,73,71,72,78,78,77,77,77,76
1,442011 13:00,102.5,79,77,77,78,80,78,80,78,75,80,78,79,79,70,79,77,77,71,77,79,81,81,79,80,79
1,442011 14:00,101.6,83,79,76,81,81,81,80,81,73,82,79,79,81,70,81,77,79,71,79,79,82,81,81,83,82
1,442011 15:00,102.6,83,82,77,82,81,81,79,83,75,84,81,81,82,70,83,77,81,71,81,78,85,84,83,84,83
1,442011 16:00,104.5,85,84,77,83,80,79,79,82,75,85,82,82,83,70,84,77,81,71,81,77,85,84,84,84,84
1,442011 17:00,108.1,85,84,77,83,80,78,77,82,73,82,81,82,83,70,84,77,82,70,81,76,85,82,84,84,83
1,442011 18:00,110.7,85,82,76,82,79,76,75,81,72,81,81,82,82,68,82,75,82,68,79,74,82,79,83,83,83
1,442011 19:00,114.2,84,77,74,80,78,73,73,79,66,78,79,82,79,67,81,73,79,67,79,71,77,75,81,81,78
1,442011 20:00,120.4,81,75,73,78,74,70,71,76,66,74,77,81,78,66,79,71,77,66,77,69,73,73,78,79,75
1,442011 21:00,131.9,77,73,72,76,72,69,70,73,57,73,76,79,76,67,77,71,77,67,73,68,71,72,75,77,73
1,442011 22:00,123.8,75,72,71,75,71,69,71,71,55,71,76,73,75,68,75,71,75,67,68,69,70,70,73,75,72
1,442011 23:00,109.9,73,70,71,75,71,70,70,71,54,71,74,73,73,68,73,70,73,67,61,68,69,70,72,73,71
1,452011 0:00,95.6,71,70,66,74,71,70,70,71,54,71,72,72,72,68,71,71,73,67,61,68,69,70,71,72,70
1,452011 1:00,85.2,71,70,61,72,72,70,70,71,55,71,70,70,70,68,70,71,73,67,64,68,69,70,70,70,69
1,452011 2:00,80,71,70,56,72,73,69,70,72,55,72,70,70,69,68,69,71,63,67,54,68,69,72,70,70,70
1,452011 3:00,77.4,72,70,55,61,72,70,70,72,54,72,61,59,69,68,70,71,59,67,55,68,69,72,71,70,71
1,452011 4:00,76.6,63,73,57,60,71,70,70,72,52,73,57,59,70,69,63,72,59,67,55,69,70,72,70,70,72
1,452011 5:00,78.5,62,73,47,60,70,70,70,71,52,72,59,61,62,69,60,72,59,67,57,69,71,72,63,61,72
1,452011 6:00,84.8,62,63,42,61,69,70,70,70,42,64,59,61,60,69,60,71,61,67,57,69,72,64,62,61,62
1,452011 7:00,98.8,63,61,40,63,67,67,71,68,36,62,61,61,60,69,60,70,52,68,50,68,65,61,62,62,61
1,452011 8:00,101.6,63,61,40,53,65,63,71,66,36,62,51,61,61,69,61,65,48,68,45,68,63,61,64,62,61
1,452011 9:00,98.9,61,63,41,50,65,63,66,65,36,66,46,51,62,70,55,65,50,66,45,63,65,63,63,62,63
1,452011 10:00,100.2,55,64,44,52,66,65,64,66,37,66,50,48,53,68,49,64,52,66,46,64,65,64,61,53,64
1,452011 11:00,102,56,54,45,56,61,68,66,63,36,64,51,52,48,66,52,64,54,64,50,66,70,66,54,50,53
1,452011 12:00,103.8,58,54,46,57,62,68,67,63,36,53,52,54,52,65,53,63,54,64,52,64,59,55,56,53,52
1,452011 13:00,102.5,60,55,47,57,62,57,56,60,41,56,54,54,54,66,54,64,54,66,52,60,55,55,58,56,55
1,452011 14:00,99.4,61,57,48,59,61,58,61,60,39,56,55,54,56,68,58,65,55,62,54,62,50,59,59,58,57
1,452011 15:00,98.3,59,55,51,59,63,57,60,63,43,59,56,54,57,58,58,62,55,67,50,60,49,59,61,59,59
1,452011 16:00,97.5,61,57,50,60,64,59,59,63,43,59,55,55,57,60,56,63,57,66,52,61,53,59,61,59,60
1,452011 17:00,100.7,62,59,50,59,63,56,59,63,39,59,55,54,57,63,58,63,55,63,54,60,54,61,59,59,59
1,452011 18:00,104.2,60,55,51,57,62,55,59,63,43,60,55,54,56,61,58,64,55,61,50,60,53,61,59,58,59
1,452011 19:00,109.6,59,55,49,55,60,55,59,60,41,58,52,54,55,55,55,60,54,61,48,59,53,57,57,57,56
1,452011 20:00,118.5,56,54,46,53,57,54,57,58,39,55,50,52,52,54,53,57,52,59,46,56,48,55,55,54,54
1,452011 21:00,132.1,53,50,45,50,53,52,53,54,39,53,49,50,51,52,51,53,48,57,46,52,50,54,53,53,52
1,452011 22:00,128.6,51,50,44,47,52,52,50,53,37,52,48,45,49,49,49,48,41,56,45,48,48,52,53,51,51
1,452011 23:00,118.5,46,50,42,48,49,51,48,51,37,48,47,46,47,50,46,45,48,54,43,46,49,48,50,50,47
1,462011 0:00,108.5,40,46,40,46,46,49,47,48,37,49,45,43,46,56,43,43,46,52,41,44,51,46,48,48,47
1,462011 1:00,101.6,38,45,39,46,45,49,48,49,37,50,43,41,44,56,40,46,39,52,37,45,50,46,47,48,47
1,462011 2:00,100.3,36,39,38,44,42,50,47,49,37,48,40,37,44,55,39,47,36,51,36,48,48,46,42,46,45
1,462011 3:00,103,35,39,36,44,42,46,45,46,37,47,38,36,42,54,37,44,34,49,37,48,47,45,40,44,44
1,462011 4:00,107.1,34,37,34,40,42,46,44,46,37,47,34,34,40,53,34,43,32,49,37,43,46,43,38,40,38
1,462011 5:00,116.4,33,36,33,38,40,40,42,45,37,46,33,32,38,53,34,41,32,49,36,42,46,39,37,37,41
1,462011 6:00,135.4,32,36,31,38,38,39,42,39,37,44,36,32,36,52,33,40,30,47,34,36,40,37,36,36,36
1,462011 7:00,165.6,31,34,31,35,37,37,36,36,36,43,33,32,37,51,32,38,30,46,36,36,40,36,35,35,35
1,462011 8:00,168.1,32,36,34,40,38,43,42,36,36,43,37,32,38,53,37,42,32,49,36,41,44,39,38,38,40
